Item,Qty,Reference(s),Value,qty/price,total price,price/pcs by vendor,,,,,,,,,,
1,13,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C22",100n,,"RWF 1,000",,,,,,,,,,,
2,2,"C13, C15",22pF,,RWF 500,,,,,,,,,,,
3,1,C14,100nF,,RWF 300,,,,,,,,,,,
4,1,C16,100nF,,RWF 300,,,,,,,,,,,
5,3,"C17, C18, C21",22UF,,"RWF 1,000",,,,,,,,,,,
6,2,"C23, C24",22UF,,"RWF 1,000",,,,,,,,,,,
7,3,"D1, D2, D3",1N4148,,RWF 500,,,,,,,,,,,
8,2,"F1, F2",3522-2,,"RWF 3,000",,,,,,,,,,,
9,1,J1,USB_B,,"RWF 1,000",,,,,,,,,,,
10,4,"J2, J3, J11, J12",Screw_Terminal_01x02,,"RWF 2,000",,,,,,,,,,,
11,1,J4,Conn_01x02_Pin,,RWF 300,,,,,,,,,,,
12,2,"J5, J6",Conn_01x08_Pin,,RWF 600,,,,,,,,,,,
13,1,J7,USB4110GFA,,"RWF 1,000",,,,,,,,,,,
14,1,J8,Conn_01x04_Pin,,RWF 100,,,,,,,,,,,
15,1,J10,RJ11-6N-B,,RWF 500,,,,,,,,,,,
16,1,R1,10k,,RWF 100,,,,,,,,,,,
17,3,"R2, R3, R4",R,,RWF 300,,,,,,,,,,,
18,2,"R5, R7",5.1K,,RWF 200,,,,,,,,,,,
19,1,R6,10K,,RWF 100,,,,,,,,,,,
20,2,"SW3, SW4",SW_DPST_x2,,RWF 400,,,,,,,,,,,
21,1,U1,CH340G,,"RWF 3,000",,,,,,,,,,,
22,1,U2,AMS1117-3.3,,"RWF 1,000",,,,,,,,,,,
23,2,"U3, U6",~,,,,,,,,,,,,,
24,1,U4,ESP32-WROOM-32,,"RWF 2,000",,,,,,,,,,,
25,1,U5,~,,"RWF 3,000",,,,,,,,,,,
26,13,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C23",100n,,"RWF 1,500",,,,,,,,,,,
,,,,,"RWF 24,700",,,,,,,,,,,
