Item,Qty,Reference(s),Value,qty/price,total price,price/pcs by vendor,LibPart,Footprint,,,,,,,,
1,13,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C22",100n,,,,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,,,,,
2,2,"C13, C15",22pF,,,,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,,,,,
3,1,C14,100nF,,,,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,,,,,
4,1,C16,100nF,,,,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,,,,,,,,
5,3,"C17, C18, C21",22UF,,,,Device:C_Polarized_Small_US,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,,,,,,,,
6,2,"C23, C24",22UF,,,,Device:C_Polarized_Small_US,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,,,,,,,,
7,3,"D1, D2, D3",1N4148,,,,Diode:1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,,,,,,,,
8,2,"F1, F2",3522-2,,3000rwf,20pcs,fulse_holder_blade:3522-2,fulse_holder_blade:FUSE_3522-2,,,,,,,,
9,1,J1,USB_B,,,,Connector:USB_B,Connector_USB:USB_Micro-B_GCT_USB3076-30-A,,,,,,,,
10,4,"J2, J3, J11, J12",Screw_Terminal_01x02,,,,Connector:Screw_Terminal_01x02,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,,,,,,,,
11,1,J4,Conn_01x02_Pin,,,,Connector:Conn_01x02_Pin,Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,,,,,,,,
12,2,"J5, J6",Conn_01x08_Pin,,,,Connector:Conn_01x08_Pin,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,,,,,,,,
13,1,J7,USB4110GFA,,,,USB4110GFA:USB4110GFA,SnapEDA Library:GCT_USB4110GFA,,,,,,,,
14,1,J8,Conn_01x04_Pin,,,,Connector:Conn_01x04_Pin,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,,,,,,
15,1,J10,RJ11-6N-B,,,,RJ11-6N-B:RJ11-6N-B,SnapEDA Library:TE_RJ11-6N-B,,,,,,,,
16,1,R1,10k,,,,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,,,,,
17,3,"R2, R3, R4",R,,,,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,,,,,
18,2,"R5, R7",5.1K,,,,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,,,,,
19,1,R6,10K,,,,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,,,,,
20,2,"SW3, SW4",SW_DPST_x2,,,,Switch:SW_DPST_x2,Button_Switch_THT:SW_PUSH_6mm,,,,,,,,
21,1,U1,CH340G,,3000rwf,10pcs,Interface_USB:CH340G,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,,,,,,,,
22,1,U2,AMS1117-3.3,,,,Regulator_Linear:AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,,,,,,,
23,2,"U3, U6",~,,,,:odrive_3.6_1,Odrive_shield:Odrive_module_shield,,,,,,,,
24,1,U4,ESP32-WROOM-32,,2000rwf,1pcs,ESP32-WROOM-32:ESP32-WROOM-32,SnapEDA Library:MODULE_ESP32-WROOM-32,,,,,,,,
25,1,U5,~,,,,MPU6050_Module:MPU6050_MOD,MPU6050_MOD:MPU6050_MOD,,,,,,,,
26,0.37,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C23",100n,,,,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,,,,,
